varname,count,min,max,mean,median,std,p05,p95,colorbar_M,colorbar_N,colorbar_min,colorbar_max,range_mode,coverage_percent
INv,9750,7402.761094634756,98225.91959259767,29038.91605928336,19667.663586946706,21046.96749734894,11431.388855713729,75831.34113410073,12594.485881312072,67164.2733897736,12594.485881312072,67164.2733897736,positive,80.0
OTv,9750,6798.175971684648,97466.07900238257,28721.466305289734,19443.20569583304,20916.246770315764,11229.888736555984,75882.02718351428,12409.5322330707,66501.23534606642,12409.5322330707,66501.23534606642,positive,80.0
INh,9750,293.5562756529444,2490.3656169023634,1073.6595762431912,1052.201175115778,316.6139799874094,619.703290349082,1625.0605992430264,692.5613812154397,1495.3514300803688,692.5613812154397,1495.3514300803688,positive,80.0
OTh,9750,290.2466755210211,2597.0549437964196,1087.034358395168,1066.75418228938,324.3275582742943,612.9959860297658,1655.5769248431457,691.8371138492794,1519.1189877286884,691.8371138492794,1519.1189877286884,positive,80.0
MC,9750,0.0,3885.253255860668,691.925619109628,549.1123459955377,577.4577295144742,128.33731675684075,1967.6086559139808,154.09034225171118,1319.1727427954456,154.09034225171118,1319.1727427954456,positive,80.0
ME,9750,0.0,305.46792534471393,44.18324313455765,41.16483177888823,27.83225539893421,0.0,91.7227864331443,14.861304980503641,75.90648787749741,14.861304980503641,75.90648787749741,positive,80.0
SE,9750,-6277.00543678553,7983.653197523523,330.3144605130207,283.54005968798083,1105.4456615123902,-1304.9745523225204,2086.73328351924,-1171.82429268548,1171.82429268548,-1171.82429268548,1171.82429268548,negative_positive,80.0
SP,9750,20.112966537475586,3526.565673828125,634.3650591147007,499.9643249511719,569.1805142869028,71.77379188537597,1864.0407653808593,90.97993087768555,1255.1162475585938,90.97993087768555,1255.1162475585938,positive,80.0
GMv,9750,7024.3955839406235,99368.5480169654,29418.0129525656,19950.035338613103,21299.572768088714,11662.358238626108,77343.26637548131,12826.912405802186,68082.61397594532,12826.912405802186,68082.61397594532,positive,80.0
GMh,9750,561.2316616647822,5333.990130132136,1765.714327740272,1550.5985895016017,725.4852355391668,1005.0151758157486,3469.578051477418,1099.6817650701853,2615.220964945392,1099.6817650701853,2615.220964945392,positive,80.0
CWR,9750,292.9258191499456,2597.410691198334,1131.349268625571,1113.970878337624,326.78893910884386,654.7921385942954,1695.3530441532125,729.566307309836,1561.8636192093925,729.566307309836,1561.8636192093925,positive,80.0
CEv,9750,0.0,8.471702965613263,2.5940046805622163,2.2692569660414397,1.6266892737337173,0.52364913817655,5.6551649029884885,0.7004807375134849,4.931703835968852,0.7004807375134849,4.931703835968852,positive,80.0
PEv,9750,0.07412558405932343,8.610760585490313,2.339686578351006,1.9633486708225845,1.6478094903530918,0.2993485628728326,5.421965608248367,0.43286854360802085,4.739161192929554,0.43286854360802085,4.739161192929554,positive,80.0
PEh,9750,1.5702921015117703,83.42782604141841,31.599427722626746,33.442057181890064,18.37837863424734,5.509236765733147,58.416464055980754,7.064923723848683,54.38685963749987,7.064923723848683,54.38685963749987,positive,80.0
PEw,9750,0.07119320858188571,8.165497961575722,2.2321490648136684,1.8802173872331873,1.5665176865235944,0.2860263198690512,5.138670585513347,0.4129025410437942,4.5080385014733615,0.4129025410437942,4.5080385014733615,positive,80.0
RCv,9750,1.3066188260270029,137.60474921909332,11.395997343904405,6.49209123054575,13.331413342631391,2.2544294938634883,41.1770988302632,2.5835735562001916,27.26354571901849,2.5835735562001916,27.26354571901849,positive,80.0
RCh,9750,0.6762493924795501,79.05975258355448,8.44989597384019,4.589739157979295,8.345821593430706,2.0856286841034515,25.926925926391874,2.417667769275407,20.612170963354878,2.417667769275407,20.612170963354878,positive,80.0
aveMv,9750,2.3224739786619186,42.81814378415304,11.711842226524322,6.106040239726027,10.734782440003919,3.1954969187102367,34.3377286508627,3.4478008449299673,31.079034246575386,3.4478008449299673,31.079034246575386,positive,80.0
aveMh,9750,0.08540280778970788,0.9723460571035005,0.29253854240669763,0.24904917984967515,0.13448146135573558,0.16512490562753734,0.6122240097067528,0.1806485112957689,0.48255049284937046,0.1806485112957689,0.48255049284937046,positive,80.0
