varname,count,min,max,mean,median,std,p05,p95,colorbar_M,colorbar_N,colorbar_min,colorbar_max,range_mode,coverage_percent
INv,117000,218.7333977345021,17375.98041947166,2420.092237659368,1688.1172811458523,2272.764578495615,598.0309135642693,7453.456611867433,701.6166042592598,5083.662854879697,701.6166042592598,5083.662854879697,positive,80.0
OTv,117000,205.1267284164768,17316.64622673174,2393.638264711628,1669.3399878829964,2235.3118053551866,595.9429656385025,7256.7553854765865,699.6246486964711,5017.994382786778,699.6246486964711,5017.994382786778,positive,80.0
INh,117000,0.0,382.23437468459946,89.47161319064243,82.63518330151592,50.86253644152596,20.547478038192832,181.69282016747468,31.077317910368784,154.58732790171246,31.077317910368784,154.58732790171246,positive,80.0
OTh,117000,0.0,434.7678305928331,90.58618043600029,83.46713536438688,51.71166155311194,20.899992792400703,184.6355284564138,31.407288937327237,156.48571049735898,31.407288937327237,156.48571049735898,positive,80.0
MC,117000,0.0,993.0594161628057,57.560152492013714,20.9183590882036,89.83126634827558,2.115529432560419,251.81395374489466,3.9138008787083876,165.83711130943888,3.9138008787083876,165.83711130943888,positive,80.0
ME,117000,0.0,79.86291633515356,3.581619056894283,2.799673475538197,3.511378847917512,0.0,9.880530314206569,0.0,7.598486027222526,0.0,7.598486027222526,positive,90.0
SE,117000,-2236.3667189772073,2407.7312561087388,27.526380365010578,17.862873793696274,145.11626663097948,-149.94928946829066,241.28648056523807,-126.45256523128046,126.45256523128046,-126.45256523128046,126.45256523128046,negative_positive,80.0
SP,117000,0.0,952.4591064453124,52.86375493710072,15.683776378631592,88.86650186559301,0.5811926782131196,246.8689720153807,1.3493574976921086,161.3879318237306,1.3493574976921086,161.3879318237306,positive,80.0
GMv,117000,208.25862583047467,17512.96852531985,2462.726359819959,1731.1757358180507,2306.961155704829,608.1914464501814,7530.676495883486,713.137221492175,5151.05127413799,713.137221492175,5151.05127413799,positive,80.0
GMh,117000,0.0,1296.9234295491256,147.33545278682007,111.69592332429072,125.36386792659253,28.327560108218037,405.75701840468787,41.57968999073379,294.9508822291398,41.57968999073379,294.9508822291398,positive,80.0
CWR,117000,0.0,436.4557090060205,94.4716978497193,87.60816616979305,52.24588998813656,23.431669435647123,188.85006580659422,34.42092066237925,161.04797108328864,34.42092066237925,161.04797108328864,positive,80.0
CEv,117000,0.0,22.73172502253687,2.1934715399648295,1.3868569594850504,2.3157154699606703,0.1261693182399423,6.936207645068366,0.2710139609622161,5.251322922385454,0.2710139609622161,5.251322922385454,positive,80.0
PEv,117000,0.0,24.222412792555254,1.921496611280368,1.004517598375874,2.361068907789563,0.04140992435641267,6.800738566424641,0.1034501052605501,5.0577250643885705,0.1034501052605501,5.0577250643885705,positive,80.0
PEh,117000,0.0,100.0,23.88410073873935,16.556795534652615,21.375585941674522,1.039053354468006,65.85008627262002,2.154761860418977,58.82764949563064,2.154761860418977,58.82764949563064,positive,80.0
PEw,117000,0.0,21.283106468697177,1.8257657621676249,0.9535855804889171,2.2412396739943823,0.03994349048437888,6.473315885784944,0.09924447199864792,4.8159006284545365,0.09924447199864792,4.8159006284545365,positive,80.0
RCv,117000,0.0,24484434.706554443,720.3524179228831,9.52499082454023,74965.65199439795,1.845711137404919,217.85978607301115,2.487544419371212,90.34608517287458,2.487544419371212,90.34608517287458,positive,80.0
RCh,117000,0.0,307868.12667278794,77.3773212396073,8.361755407524745,2071.499251280494,1.7107652970868348,101.29616342266303,2.24991386415585,54.46230747437197,2.24991386415585,54.46230747437197,positive,80.0
aveMv,117000,0.5410282258064519,73.25720248789632,11.675521488643449,6.811089755414474,13.923758112502696,1.13275573429803,47.67011979166661,1.4014284036574614,29.294687018156985,1.4014284036574614,29.294687018156985,positive,80.0
aveMh,117000,0.0,2.1281899395463606,0.2916977022833863,0.20651318802014051,0.2745601606507118,0.04508643492993164,0.8704193199011511,0.06744079611950637,0.5875003625480198,0.06744079611950637,0.5875003625480198,positive,80.0
